iter	RMSE
349	3806.858648
350	3806.013723
351	3805.41533
352	3804.041021
353	3803.06669
354	3800.81776
355	3797.566378
356	3795.088974
357	3794.036219
358	3792.956621
359	3790.784344
360	3789.258514
361	3788.196011
362	3786.164744
363	3785.159319
364	3780.897813
365	3780.675536
366	3779.126723
367	3777.425353
368	3776.886721
369	3775.114998
370	3773.479799
371	3772.385999
372	3770.913328
373	3769.785607
374	3766.392272
375	3765.913852
376	3765.439523
377	3763.565329
378	3762.513977
379	3761.582557
380	3760.112391
381	3759.766389
382	3758.253146
383	3757.115353
384	3756.138226
385	3755.361904
386	3754.223057
387	3753.51059
388	3752.979481
389	3752.409946
390	3750.53571
391	3749.644625
392	3746.918919
393	3744.949291
394	3744.275553
395	3743.084248
396	3742.662759
397	3741.112214
398	3739.800105
399	3738.249579
400	3736.468852
401	3735.589788
402	3734.102416
403	3732.962004
404	3730.788603
405	3730.339469
406	3728.325835
407	3727.269354
408	3725.533684
409	3724.5971
410	3722.910677
411	3722.195343
412	3720.935287
413	3720.513188
414	3719.263989
415	3718.540672
416	3717.137159
417	3715.291533
418	3713.891987
419	3713.423941
420	3711.689445
421	3710.182627
422	3708.476406
423	3707.413329
424	3706.240254
425	3704.220563
426	3703.536845
427	3702.637593
428	3702.036051
429	3698.195039
430	3696.068273
431	3694.35768
432	3692.827997
433	3690.922558
434	3689.891688
435	3688.562441
436	3688.040197
437	3687.185839
438	3686.745789
439	3685.61238
440	3685.363567
441	3683.523037
442	3682.365548
443	3681.700994
444	3680.871901
445	3679.293337
446	3678.010383
447	3676.65361
448	3675.46922
449	3674.472444
450	3672.902378
451	3671.810211
452	3670.621864
453	3669.619412
454	3669.011497
455	3667.497025
456	3666.613568
457	3665.588862
458	3665.318272
459	3663.851143
460	3663.407315
461	3662.708489
462	3662.000341
463	3661.267206
464	3660.263397
465	3659.885729
466	3659.118491
467	3657.987404
468	3654.460845
469	3653.446918
470	3652.201571
471	3651.516537
472	3649.610435
473	3648.845817
474	3646.901348
475	3646.226614
476	3644.47881
477	3643.908591
478	3643.032105
479	3640.474011
480	3639.740179
481	3639.390065
482	3637.44992
483	3636.066672
484	3635.07365
485	3633.866358
486	3632.653704
487	3632.042278
488	3631.262206
489	3629.848516
490	3629.468049
491	3628.702033
492	3626.902679
493	3626.009149
494	3625.101942
495	3623.64955
496	3623.026402
497	3621.774354
498	3620.970053
499	3619.716634
